,Id,Target
0,10580_1610_C1_1,13 25 0 2 21
1,10580_1610_C1_2,13 25 0 2 21
2,10580_1756_B1_1,13 25 0 2 21
3,10580_1756_B1_2,13 25 0 2 21
4,10580_1758_B1_1,13 25 0 2 21
5,10580_1758_B1_2,13 25 0 2 21
6,10814_50_A1_1,6
7,10814_50_A1_2,6
8,10814_51_A1_1,6
9,10814_51_A1_2,6
10,10814_856_E12_1,6
11,10814_856_E12_2,6
12,11311_88_G2_1,25 6
13,11311_88_G2_2,25 6
14,11311_89_G2_1,25 6
15,11311_89_G2_2,25 6
16,11311_90_G2_1,25 6
17,11311_90_G2_2,25 6
18,11651_1601_F3_3,23 0
19,11651_1601_F3_4,23 0
20,11651_1611_B3_2,23 0
21,11651_1611_B3_3,23 0
22,11651_1732_F3_13_cr580610dc203b9,23 0
23,11651_1732_F3_18_cr580610e574a5b,23 0
24,1183_50_A11_1,21
25,1183_50_A11_2,21
26,1183_51_A11_1,21
27,1183_51_A11_2,21
28,1183_52_A11_1,21
29,1183_52_A11_2,21
30,1223_79_E2_1,2
31,1223_79_E2_2,2
32,1223_80_E2_1,2
33,1223_80_E2_2,2
34,1223_81_E2_1,2
35,1223_81_E2_2,2
36,1312_59_F4_1,4 6
37,1312_59_F4_2,4 6
38,1312_60_F4_1,4 6
39,1312_60_F4_2,4 6
40,1312_61_F4_1,4 6
41,1312_61_F4_2,4 6
42,1400_29_C2_1,25 27
43,1400_29_C2_2,25 27
44,1400_31_C2_1,25 27
45,1400_31_C2_2,25 27
46,1400_973_A2_5,25 27
47,1400_973_A2_6,25 27
48,14118_1553_B5_2,2
49,14118_1553_B5_3,2
50,14118_1566_F12_1,2
51,14118_1566_F12_2,2
52,14118_1568_F12_1,2
53,14118_1568_F12_2,2
54,1648_13_E5_1,25
55,1648_13_E5_2,25
56,1648_14_E5_1,25
57,1648_14_E5_2,25
58,1648_16_E5_1,25
59,1648_16_E5_2,25
60,16884_133_F2_1,25 0
61,16884_133_F2_2,25 0
62,16884_134_F2_1,25 0
63,16884_134_F2_2,25 0
64,16884_135_F2_1,25 0
65,16884_135_F2_2,25 0
66,16995_138_C2_1,4
67,16995_138_C2_2,4
68,16995_139_C2_1,4
69,16995_139_C2_2,4
70,16995_166_C2_1,4
71,16995_166_C2_2,4
72,18517_1042_H5_1,23 19
73,18517_1042_H5_3,23 19
74,18517_117_C9_1,23 19
75,18517_117_C9_2,23 19
76,18517_1764_H1_3,23 19
77,18517_1764_H1_5,23 19
78,18683_1055_C9_1,18 0
79,18683_1055_C9_2,18 0
80,18683_1142_C9_1,18 0
81,18683_1142_C9_3,18 0
82,18683_1395_G2_1,18 0
83,18683_1395_G2_2,18 0
84,19206_1046_C8_4,21
85,19206_1046_C8_6,21
86,19206_1165_F8_1,21
87,19206_1165_F8_2,21
88,19206_154_C9_1,21
89,19206_154_C9_2,21
90,19477_183_F8_1,25 7
91,19477_183_F8_2,25 7
92,19477_185_F8_1,25 7
93,19477_185_F8_2,25 7
94,19477_242_F8_3,25 7
95,19477_242_F8_4,25 7
96,19545_183_F6_1,23
97,19545_183_F6_2,23
98,19545_185_F6_1,23
99,19545_185_F6_2,23
100,19545_242_F6_1,23
101,19545_242_F6_2,23
102,19585_152_H8_1,7
